"DATE","nomcapital","cpi","nomlabor","nomoutput","labor","cap","output","capelast","labelast","gamma","year","F0","prod","wage","capprice","c0","labprod","capprod","prodprod","outputind","prodind","c0ind","wageind","cappriceind","gammaind","capelastind","labelastind","part.output","part.cost","part.cap","part.lab","part.tech","part.noncost"
"1997-01-01",2030.79,69.91329,3955.87,6386.92,179.189,63.911,9135.48768767712,0.317960769823326,0.619370526012538,0.0626687041641355,1997,-4.71821305564324,9.30264821246784,22.0765225543979,31.775281250489,-142.449573369979,50.9824134722395,142.9407721312,0.832996066960996,-0.201342191442299,-0.0712283713988775,5.42632927872972,-0.493256792644804,-0.26244630440472,0.0320366697649002,-0.12277283143663,0.0659998248626386,0.571533684675002,8.20497126659034,0.0917504567573333,0.138708506277695,0.295684298167468,1.0976769458775
"1998-01-01",2083.69,70.99854,4260.51,6765.51,184.065,67.923,9529.08327410676,0.307987128834338,0.629739664858968,0.0622732063066939,1998,-4.72638343091444,9.30500779441086,23.1467688044984,30.6772374600651,-143.378964491469,51.7702076663503,140.292438115318,0.866837284676149,-0.186008088588267,-0.0688687894558662,4.49693815724012,-0.44591631433204,-0.297614043984305,0.0257057408246428,-0.154642848669761,0.082602646794714,0.570553580036651,8.21053275453417,0.0882483562329526,0.141346053129202,0.294327050477875,1.09447503987668
"1999-01-01",2239.68,72.55201,4526.27,7210.17,188.133,72.46,9937.93280158606,0.310627904751206,0.62776189743099,0.0616101978178046,1999,-4.72824381210131,9.31424533864622,24.0588838747057,30.9091912779465,-145.083933797955,52.8239745370885,137.150604493321,0.895716763388236,-0.165857779960948,-0.0596312452205048,2.79196885075405,-0.40726718841999,-0.2900813807204,0.0150018887022108,-0.146105093152328,0.0794570935516162,0.567067303399895,8.22681336445457,0.0880381733468106,0.141018460850571,0.291308036594372,1.08743197419165
"2000-01-01",2318.66,75.00199,4890.02,7677.23,191.347,77.153,10236.0350705361,0.302017785060497,0.63695108782725,0.0610311271122527,2000,-4.73654269130265,9.31110889763336,25.5557704066434,30.0527523233056,-146.413636578953,53.494620090914,132.671899609038,0.925483223432565,-0.15324184102287,-0.0627676862333644,1.46226606975623,-0.346908369874912,-0.318180724509911,0.00555849742733106,-0.174214934701561,0.093989010618408,0.563541264502496,8.23017820386899,0.084793556703461,0.143519333492911,0.289076539065503,1.08093069376437
"2001-01-01",2376.28,77.12167,5025.31,7866.07,188.427,80.873,10199.5586973156,0.302092404466271,0.638859049054992,0.0590485464787371,2001,-4.74688788297097,9.30313421459815,26.6697978527493,29.3828595452129,-151.409686372752,54.1300275295767,126.118218655368,0.929568776797639,-0.141433861428727,-0.0707423692685758,-3.53378372404265,-0.304239750052285,-0.340723477091873,-0.0274655898788208,-0.1739678956433,0.0969799927323846,0.545023973109121,8.25539073707368,0.0816528019686527,0.14076987265973,0.280296829786966,1.04774347752447
"2002-01-01",2518.19,78.34485,5059.21,8068.3,184.801,83.602,10298.4433565193,0.312109118401646,0.627047829158559,0.0608430524397952,2002,-4.73135889781207,9.31695299805335,27.3765293477849,30.1211693500155,-146.934686171676,55.7272057863285,123.184174499645,0.925700097399361,-0.112354468907098,-0.0569235858133759,0.94121647703335,-0.278085455481094,-0.315906747534861,0.00247212060092972,-0.141347976139172,0.0783189634680187,0.562174474063456,8.23605637616004,0.08677578451966,0.144076045779122,0.287870317531071,1.08089662189331
"2003-01-01",2724.34,80.12335,5189.01,8430.82,183.216,85.916,10522.3009272578,0.32314057232867,0.615481056409697,0.0613783712616328,2003,-4.7218090019926,9.33693054719913,28.3218168718889,31.7093440104288,-145.871907233451,57.4311246138862,122.471960138482,0.927114350568913,-0.0822365337938784,-0.0369460366675938,2.00399541525795,-0.244139086794537,-0.26452357156978,0.0112319963867122,-0.106613404276402,0.0597003107823479,0.568440574755818,8.2430611168999,0.0909635379599023,0.144648371632689,0.289816945950821,1.09386943029923
"2004-01-01",2949,82.26844,5491.03,8998.19,185.639,88.127,10937.5964829283,0.327732577329441,0.610237169919728,0.0620302527508312,2004,-4.71558505820044,9.35994531462726,29.5790755175367,33.463070341666,-144.568586264236,58.9186350008798,124.111753298403,0.941779637061956,-0.0566655064852011,-0.0139312692394657,3.3073163844731,-0.200704305481752,-0.210692519849733,0.0217966965055507,-0.0925028784555071,0.0511438279450226,0.576878953232762,8.24960674835842,0.0940434971947029,0.146907182813159,0.292508933028217,1.11033856626884
"2005-01-01",3301.83,85.0596,5757.68,9662.24,188.9,90.946,11359.3762491241,0.341725107221514,0.595894947755386,0.0623799450231002,2005,-4.70519773849798,9.37851022329937,30.48004235045,36.3053900116553,-143.943488805157,60.134336946131,124.902428354454,0.960106138034284,-0.0362419222074184,0.00463363943265094,3.93241384355247,-0.170699388375091,-0.129168757337104,0.0274183127308558,-0.0506942074670638,0.0273605325688858,0.582491374727806,8.25678819873259,0.0994580797535812,0.146262593835079,0.293509976250319,1.12172202456679
"2006-01-01",3496.32,87.80357,6120.56,10256.68,193.075,94.065,11681.3929091949,0.340882234797225,0.596738905766778,0.0623788594359967,2006,-4.70571873206506,9.38182329053101,31.7004272950926,37.1691915165045,-143.939531005063,60.5018407830891,124.184265233561,0.984057660738719,-0.0301491400794038,0.00794670666428843,3.93637164364597,-0.13144134851018,-0.10565473965044,0.0274009097570431,-0.0531637761364248,0.0287758171506085,0.584224959033957,8.25642156631766,0.0997635486032758,0.14787584924329,0.293537367332823,1.12540172421335
